,feature_bkt,volume,%volume
0,BUSNAICS_ECN211_PCT,2454669.119409393,3.418073536038515
1,BUSNAICS_ECN221_PCT,485445.39428770123,0.6759721879769311
2,BUSNAICS_ECN222_PCT,189722.0118720999,0.26418378870551745
3,BUSNAICS_ECN223_PCT,1078711.0762652988,1.5020817892153147
4,BUSNAICS_ECN231_PCT,155549.2232713,0.2165989213824883
5,BUSNAICS_ECN232_PCT,1242026.5050672055,1.7294949834420348
6,BUSNAICS_ECN233_PCT,1342511.347279099,1.869417947894416
7,BUSNAICS_ECN242_PCT,1192591.2279350962,1.6606574317020069
8,BUSNAICS_ECN244_PCT,10392542.21472784,14.471389742692176
9,BUSNAICS_ECN245_PCT,18735868.196135342,26.089290303747497
10,BUSNAICS_ECN248_PCT,1564306.701097898,2.1782631699692927
11,BUSNAICS_ECN249_PCT,201673.53963570006,0.28082603202905765
12,BUSNAICS_ECN251_PCT,4007642.5409609103,5.580555359924254
13,BUSNAICS_ECN252_PCT,600712.4973228008,0.8364791301732363
14,BUSNAICS_ECN253_PCT,308104.9206035004,0.4290294227889502
15,BUSNAICS_ECN254_PCT,12046041.422388742,16.773851544519967
16,BUSNAICS_ECN255_PCT,185704.6287159,0.2585896697500316
17,BUSNAICS_ECN256_PCT,1843221.8131187984,2.56664641708866
18,BUSNAICS_ECN261_PCT,5390104.784028893,7.5056040641423065
19,BUSNAICS_ECN262_PCT,2779381.276182207,3.870228175178714
20,BUSNAICS_ECN271_PCT,288480.2140489001,0.401702444339431
21,BUSNAICS_ECN272_PCT,1751029.7873915,2.438271019817976
22,BUSNAICS_ECN281_PCT,130027.5873385,0.18106059660847457
23,BUSNAICS_ECN292_PCT,3448335.421530107,4.801732320872727
